title,popularity,vote_average,vote_count,release_date,release_year,month_name,day_name,revenue,budget,return
My Fellow Americans,3.863894,6.3,46.0,1996-12-20,1996,Diciembre,Viernes,0.0,0.0,0.0
Mars Attacks!,15.63424,6.1,1544.0,1996-12-12,1996,Diciembre,Jueves,101371017.0,70000000.0,1.4481573857142858
Citizen Ruth,2.225234,6.8,27.0,1996-12-13,1996,Diciembre,Viernes,153155.0,3000000.0,0.05105166666666667
Jerry Maguire,11.807601,6.7,941.0,1996-12-06,1996,Diciembre,Viernes,273552592.0,50000000.0,5.47105184
Raising Arizona,14.011415,7.2,548.0,1987-03-01,1987,Marzo,Domingo,29180280.0,6000000.0,4.86338
Tin Men,6.477975,6.8,38.0,1987-03-06,1987,Marzo,Viernes,0.0,0.0,0.0
Sneakers,7.207325,6.7,301.0,1992-09-09,1992,Septiembre,Miã©rcoles,105232691.0,0.0,0.0
Bastard Out of Carolina,1.403309,7.3,19.0,1996-12-15,1996,Diciembre,Domingo,0.0,0.0,0.0
In Love and War,2.369637,6.0,28.0,1996-12-18,1996,Diciembre,Miã©rcoles,0.0,0.0,0.0
Marvin's Room,5.307984,6.6,130.0,1996-12-18,1996,Diciembre,Miã©rcoles,12803305.0,23000000.0,0.5566654347826087
Somebody Is Waiting,0.016374,0.0,0.0,1996-12-19,1996,Diciembre,Jueves,0.0,0.0,0.0
Ghosts of Mississippi,15.50082,6.2,40.0,1996-12-20,1996,Diciembre,Viernes,0.0,0.0,0.0
Night Falls on Manhattan,1.626239,6.6,24.0,1996-10-22,1996,Octubre,Martes,0.0,0.0,0.0
Beavis and Butt-Head Do America,8.855685,6.5,169.0,1996-12-15,1996,Diciembre,Domingo,0.0,12000000.0,0.0
La Cérémonie,3.095894,7.0,40.0,1995-08-30,1995,Agosto,Miã©rcoles,0.0,0.0,0.0
Scream,13.326443,7.0,1520.0,1996-12-20,1996,Diciembre,Viernes,173046663.0,14000000.0,12.360475928571429
The Last of the Mohicans,15.228794,7.1,747.0,1992-09-25,1992,Septiembre,Viernes,75505856.0,40000000.0,1.8876464
Michael,9.473162,5.5,174.0,1996-12-25,1996,Diciembre,Miã©rcoles,119718203.0,0.0,0.0
The Evening Star,8.399114,5.8,18.0,1996-12-25,1996,Diciembre,Miã©rcoles,0.0,0.0,0.0
Hamlet,9.994088,7.3,118.0,1996-12-25,1996,Diciembre,Miã©rcoles,0.0,0.0,0.0
Some Mother's Son,0.332582,7.0,6.0,1996-12-25,1996,Diciembre,Miã©rcoles,0.0,0.0,0.0
The Whole Wide World,7.94599,6.4,9.0,1996-12-20,1996,Diciembre,Viernes,0.0,1300000.0,0.0
Mother,7.860965,6.8,19.0,1996-12-25,1996,Diciembre,Miã©rcoles,0.0,0.0,0.0
Thieves,0.365078,7.0,5.0,1996-08-21,1996,Agosto,Miã©rcoles,0.0,0.0,0.0
Evita,6.709803,5.9,122.0,1996-12-14,1996,Diciembre,Sã¡bado,141047179.0,55000000.0,2.564494163636364
The Portrait of a Lady,4.13905,6.3,46.0,1996-10-18,1996,Octubre,Viernes,3692836.0,0.0,0.0
Walkabout,10.177086,7.4,111.0,1971-07-01,1971,Julio,Jueves,0.0,0.0,0.0
Message to Love: The Isle of Wight Festival,0.330752,6.4,4.0,1996-02-15,1996,Febrero,Jueves,0.0,0.0,0.0
Murder at 1600,8.428986,5.8,130.0,1997-04-18,1997,Abril,Viernes,25804707.0,0.0,0.0
Hearts and Minds,0.001202,0.0,0.0,1995-08-29,1995,Agosto,Martes,0.0,500000.0,0.0
Inside,0.064513,0.0,1.0,1996-08-25,1996,Agosto,Domingo,0.0,0.0,0.0
Fierce Creatures,11.036729,6.0,95.0,1997-01-24,1997,Enero,Viernes,9381260.0,0.0,0.0
Zeus & Roxanne,1.034602,4.2,16.0,1997-01-24,1997,Enero,Viernes,0.0,0.0,0.0
Turbulence,5.304043,5.2,63.0,1997-01-09,1997,Enero,Jueves,11466088.0,55000000.0,0.20847432727272727
Angel Baby,0.775616,7.7,3.0,1995-09-09,1995,Septiembre,Sã¡bado,0.0,0.0,0.0
First Strike,9.206356,6.5,101.0,1996-02-10,1996,Febrero,Sã¡bado,21890845.0,0.0,0.0
Underworld,0.005555,6.0,1.0,1996-06-01,1996,Junio,Sã¡bado,0.0,0.0,0.0
Beverly Hills Ninja,12.16305,5.5,176.0,1997-01-17,1997,Enero,Viernes,0.0,0.0,0.0
Metro,10.519481,5.3,136.0,1997-01-16,1997,Enero,Jueves,31987563.0,55000000.0,0.5815920545454546
The Machine,0.935473,4.5,2.0,1994-05-28,1994,Mayo,Sã¡bado,0.0,0.0,0.0
Falling in Love Again,0.462729,6.1,4.0,1980-11-21,1980,Noviembre,Viernes,0.0,0.0,0.0
The Cement Garden,15.975485,7.2,23.0,1993-02-20,1993,Febrero,Sã¡bado,322975.0,0.0,0.0
Dante's Peak,7.240753,5.8,445.0,1997-02-07,1997,Febrero,Viernes,178127760.0,116000000.0,1.5355841379310344
Meet Wally Sparks,0.576741,5.3,10.0,1997-01-01,1997,Enero,Miã©rcoles,0.0,0.0,0.0
Amos & Andrew,3.941294,5.0,47.0,1993-03-05,1993,Marzo,Viernes,0.0,0.0,0.0
Benny & Joon,10.597116,6.9,220.0,1993-04-16,1993,Abril,Viernes,23202734.0,0.0,0.0
Prefontaine,2.93818,6.7,21.0,1997-01-24,1997,Enero,Viernes,589304.0,8000000.0,0.073663
A Tickle in the Heart,0.001688,0.0,0.0,1996-11-21,1996,Noviembre,Jueves,0.0,0.0,0.0
Guantanamera,0.496315,8.0,3.0,1995-01-01,1995,Enero,Domingo,0.0,0.0,0.0
McHale's Navy,2.705804,4.4,27.0,1997-04-18,1997,Abril,Viernes,4529843.0,0.0,0.0
Kolya,13.947867,7.5,46.0,1996-05-05,1996,Mayo,Domingo,5770254.0,0.0,0.0
Gridlock'd,10.575081,6.8,55.0,1997-01-29,1997,Enero,Miã©rcoles,0.0,0.0,0.0
Fire on the Mountain,0.001177,0.0,0.0,1996-11-29,1996,Noviembre,Viernes,0.0,0.0,0.0
Waiting for Guffman,8.130999,7.4,66.0,1996-01-31,1996,Enero,Miã©rcoles,0.0,0.0,0.0
Prisoner of the Mountains,1.015881,6.6,14.0,1996-03-15,1996,Marzo,Viernes,0.0,0.0,0.0
The Beautician and the Beast,7.566377,5.2,53.0,1997-02-07,1997,Febrero,Viernes,0.0,16000000.0,0.0
SubUrbia,8.67935,6.4,32.0,1996-02-07,1996,Febrero,Miã©rcoles,656747.0,0.0,0.0
Hotel de Love,0.228157,4.3,2.0,1996-12-19,1996,Diciembre,Jueves,0.0,0.0,0.0
The Pest,3.194883,5.0,35.0,1997-02-07,1997,Febrero,Viernes,0.0,17000000.0,0.0
Fools Rush In,6.285574,5.8,133.0,1997-02-14,1997,Febrero,Viernes,29481428.0,0.0,0.0
Touch,0.455272,6.0,10.0,1997-02-14,1997,Febrero,Viernes,0.0,0.0,0.0
Absolute Power,7.66124,6.4,226.0,1997-02-14,1997,Febrero,Viernes,50068310.0,50000000.0,1.0013662
That Darn Cat,1.496999,3.9,11.0,1997-02-14,1997,Febrero,Viernes,0.0,0.0,0.0
Vegas Vacation,9.304901,6.0,175.0,1997-02-13,1997,Febrero,Jueves,36400360.0,25000000.0,1.4560144
Unforgotten: Twenty-Five Years After Willowbrook,0.14057,7.0,2.0,1997-02-14,1997,Febrero,Viernes,0.0,0.0,0.0
That Old Feeling,1.954656,7.1,15.0,1997-04-04,1997,Abril,Viernes,0.0,0.0,0.0
Lost Highway,8.449722,7.5,572.0,1997-01-15,1997,Enero,Miã©rcoles,3675201.0,15000000.0,0.2450134
Rosewood,2.899809,6.7,31.0,1997-02-21,1997,Febrero,Viernes,13130349.0,30000000.0,0.4376783
Donnie Brasco,12.201954,7.4,1175.0,1997-02-27,1997,Febrero,Jueves,41954997.0,35000000.0,1.1987142
Salut cousin !,0.15935,3.3,4.0,1996-11-20,1996,Noviembre,Miã©rcoles,0.0,0.0,0.0
Booty Call,2.543626,5.6,29.0,1997-02-26,1997,Febrero,Miã©rcoles,20060051.0,0.0,0.0
Rhyme & Reason,0.915041,6.3,8.0,1997-03-04,1997,Marzo,Martes,0.0,0.0,0.0
Boys Life 2,0.060645,5.0,1.0,1997-03-07,1997,Marzo,Viernes,532654.0,0.0,0.0
City of Industry,1.922014,5.6,14.0,1997-03-14,1997,Marzo,Viernes,0.0,8000000.0,0.0
Best Men,6.610419,5.6,8.0,1997-01-01,1997,Enero,Miã©rcoles,0.0,1000000.0,0.0
Jungle 2 Jungle,12.640569,4.9,122.0,1997-03-07,1997,Marzo,Viernes,0.0,0.0,0.0
Kama Sutra - A Tale of Love,7.124652,5.7,36.0,1996-09-11,1996,Septiembre,Miã©rcoles,4109095.0,3000000.0,1.3696983333333332
Private Parts,10.928417,6.7,106.0,1997-03-07,1997,Marzo,Viernes,41230799.0,28000000.0,1.4725285357142857
Love Jones,1.251862,8.1,12.0,1997-03-14,1997,Marzo,Viernes,0.0,10000000.0,0.0
The Saint,10.97633,5.9,310.0,1997-04-03,1997,Abril,Jueves,118063304.0,68000000.0,1.7362250588235295
Smilla's Sense of Snow,3.132331,6.6,61.0,1997-02-13,1997,Febrero,Jueves,0.0,35000000.0,0.0
The Van,1.13412,5.9,15.0,1996-05-11,1996,Mayo,Sã¡bado,0.0,0.0,0.0
Crash,7.540612,6.5,224.0,1996-07-17,1996,Julio,Miã©rcoles,0.0,10000000.0,0.0
The Daytrippers,9.664735,6.2,11.0,1996-01-01,1996,Enero,Lunes,0.0,0.0,0.0
Liar Liar,10.102471,6.4,1456.0,1997-03-21,1997,Marzo,Viernes,302710615.0,45000000.0,6.726902555555555
The Quiet Room,0.064705,5.0,1.0,1996-03-21,1996,Marzo,Jueves,0.0,0.0,0.0
Selena,7.390306,7.1,115.0,1997-03-21,1997,Marzo,Viernes,60000000.0,20000000.0,3.0
The Devil's Own,10.675073,5.9,300.0,1997-03-12,1997,Marzo,Miã©rcoles,140807547.0,90000000.0,1.5645283
Cats Don't Dance,3.406836,7.1,25.0,1997-03-26,1997,Marzo,Miã©rcoles,3566637.0,32000000.0,0.11145740625
B.A.P.S.,1.56098,4.2,13.0,1997-03-28,1997,Marzo,Viernes,7240837.0,0.0,0.0
Love and Other Catastrophes,0.915298,5.8,9.0,1996-08-01,1996,Agosto,Jueves,0.0,0.0,0.0
Turbo: A Power Rangers Movie,5.436745,4.6,60.0,1997-03-27,1997,Marzo,Jueves,17979739.0,10000000.0,1.7979739
Anna Karenina,5.660835,6.4,26.0,1997-04-04,1997,Abril,Viernes,791830.0,35000000.0,0.022623714285714285
Double Team,5.452961,4.4,163.0,1997-04-04,1997,Abril,Viernes,0.0,30000000.0,0.0
Inventing the Abbotts,5.063701,6.4,43.0,1997-04-04,1997,Abril,Viernes,5926128.0,0.0,0.0
Anaconda,14.386089,4.8,624.0,1997-04-11,1997,Abril,Viernes,136885767.0,45000000.0,3.041905933333333
Grosse Pointe Blank,7.556814,6.9,278.0,1997-04-11,1997,Abril,Viernes,28084357.0,0.0,0.0
Keys to Tulsa,1.323422,4.9,5.0,1997-04-11,1997,Abril,Viernes,57252.0,0.0,0.0
Kissed,2.056754,7.0,21.0,1996-09-07,1996,Septiembre,Sã¡bado,0.0,0.0,0.0
8 Heads in a Duffel Bag,5.666701,5.4,39.0,1997-04-18,1997,Abril,Viernes,0.0,0.0,0.0
Hollow Reed,0.261217,6.8,6.0,1996-06-24,1996,Junio,Lunes,0.0,0.0,0.0
Paradise Road,1.462139,6.2,21.0,1997-04-11,1997,Abril,Viernes,0.0,16000000.0,0.0
Traveller,2.166773,5.9,6.0,1997-04-18,1997,Abril,Viernes,0.0,0.0,0.0
All Over Me,4.06745,5.9,15.0,1997-02-15,1997,Febrero,Sã¡bado,0.0,0.0,0.0
A Brother's Kiss,0.92491,8.0,1.0,1997-04-25,1997,Abril,Viernes,0.0,0.0,0.0
A Chef in Love,0.631834,3.5,2.0,1996-06-06,1996,Junio,Jueves,0.0,0.0,0.0
Romy and Michele's High School Reunion,5.889414,6.0,160.0,1997-04-25,1997,Abril,Viernes,29235353.0,0.0,0.0
Temptress Moon,1.136222,7.2,6.0,1996-05-09,1996,Mayo,Jueves,0.0,0.0,0.0
Volcano,13.147917,5.2,387.0,1997-04-25,1997,Abril,Viernes,0.0,90000000.0,0.0
Children of the Revolution,1.129648,5.3,9.0,1996-06-14,1996,Junio,Viernes,0.0,0.0,0.0
Austin Powers: International Man of Mystery,11.749159,6.5,1033.0,1997-05-02,1997,Mayo,Viernes,67683989.0,16500000.0,4.102059939393939
Breakdown,7.926621,6.6,202.0,1997-05-02,1997,Mayo,Viernes,50159144.0,36000000.0,1.3933095555555555
Broken English,0.369118,7.0,2.0,1996-09-09,1996,Septiembre,Lunes,0.0,0.0,0.0
Commandments,0.225707,5.3,5.0,1997-05-02,1997,Mayo,Viernes,0.0,0.0,0.0
Ripe,0.773608,4.0,4.0,1996-09-10,1996,Septiembre,Martes,0.0,0.0,0.0
"Truth or Consequences, N.M.",2.26858,5.7,15.0,1997-01-01,1997,Enero,Miã©rcoles,0.0,0.0,0.0
The Turning,0.129847,0.0,0.0,1992-01-01,1992,Enero,Miã©rcoles,0.0,0.0,0.0
Warriors of Virtue,0.719444,4.7,9.0,1997-05-02,1997,Mayo,Viernes,0.0,0.0,0.0
Fathers' Day,5.295556,5.1,77.0,1997-05-09,1997,Mayo,Viernes,0.0,85000000.0,0.0
The Fifth Element,24.30526,7.3,3962.0,1997-05-07,1997,Mayo,Miã©rcoles,263920180.0,90000000.0,2.9324464444444445
Intimate Relations,1.372838,8.0,1.0,1996-01-01,1996,Enero,Lunes,0.0,0.0,0.0
Nowhere,3.324489,6.3,27.0,1997-05-09,1997,Mayo,Viernes,27354.0,0.0,0.0
Losing Chase,0.901452,3.9,6.0,1996-08-18,1996,Agosto,Domingo,0.0,0.0,0.0
Sprung,1.511388,5.0,7.0,1997-05-14,1997,Mayo,Miã©rcoles,7553105.0,0.0,0.0
The Promise,0.122178,5.0,1.0,1995-02-16,1995,Febrero,Jueves,0.0,0.0,0.0
Le Bonheur,0.792486,7.0,21.0,1965-02-10,1965,Febrero,Miã©rcoles,0.0,0.0,0.0
Love! Valour! Compassion!,1.7442,5.7,10.0,1997-05-16,1997,Mayo,Viernes,2900000.0,2000000.0,1.45
Shall We Dance?,1.963402,7.2,35.0,1996-01-27,1996,Enero,Sã¡bado,0.0,0.0,0.0
The Second Jungle Book: Mowgli & Baloo,0.285487,3.2,5.0,1997-05-16,1997,Mayo,Viernes,479099.0,0.0,0.0
Twin Town,1.651546,6.6,29.0,1997-04-11,1997,Abril,Viernes,0.0,0.0,0.0
Addicted to Love,8.085194,6.1,112.0,1997-05-23,1997,Mayo,Viernes,34673095.0,0.0,0.0
Brassed Off,3.117071,6.9,53.0,1996-11-01,1996,Noviembre,Viernes,0.0,0.0,0.0
The Designated Mourner,0.152272,8.0,2.0,1997-05-23,1997,Mayo,Viernes,0.0,0.0,0.0
The Lost World: Jurassic Park,0.788123,6.2,2528.0,1997-05-23,1997,Mayo,Viernes,229074524.0,73000000.0,3.1380071780821917
Ponette,0.409967,7.5,11.0,1996-09-10,1996,Septiembre,Martes,0.0,0.0,0.0
Schizopolis,2.438198,6.4,22.0,1996-09-13,1996,Septiembre,Viernes,0.0,0.0,0.0
Shiloh,2.89449,5.7,17.0,1996-11-30,1996,Noviembre,Sã¡bado,0.0,0.0,0.0
The War at Home,0.893464,6.9,7.0,1996-11-20,1996,Noviembre,Miã©rcoles,0.0,0.0,0.0
Rough Magic,0.476919,6.3,7.0,1995-09-07,1995,Septiembre,Jueves,0.0,0.0,0.0
Trial and Error,2.683782,5.3,17.0,1997-05-30,1997,Mayo,Viernes,0.0,0.0,0.0
Buddy,2.022706,3.9,13.0,1997-06-06,1997,Junio,Viernes,0.0,0.0,0.0
Con Air,11.545982,6.5,1289.0,1997-06-01,1997,Junio,Domingo,224012234.0,75000000.0,2.9868297866666667
Late Bloomers,0.071497,4.0,1.0,1996-01-01,1996,Enero,Lunes,0.0,0.0,0.0
The Pillow Book,2.690319,6.9,41.0,1996-05-12,1996,Mayo,Domingo,0.0,0.0,0.0
To Have (Or Not),0.014329,0.0,0.0,1995-12-27,1995,Diciembre,Miã©rcoles,0.0,0.0,0.0
Speed 2: Cruise Control,11.268531,4.1,439.0,1997-06-13,1997,Junio,Viernes,164508066.0,160000000.0,1.0281754125
Squeeze,0.321515,6.0,1.0,1997-06-06,1997,Junio,Viernes,10300.0,500000.0,0.0206
Sudden Manhattan,0.344303,6.0,1.0,1996-10-11,1996,Octubre,Viernes,0.0,0.0,0.0
The Next Step,0.001247,0.0,0.0,1997-06-13,1997,Junio,Viernes,0.0,0.0,0.0
Wedding Bell Blues,0.886134,5.5,2.0,1996-10-18,1996,Octubre,Viernes,44000.0,0.0,0.0
Batman & Robin,17.038824,4.2,1447.0,1997-06-20,1997,Junio,Viernes,238207122.0,125000000.0,1.905656976
Dream with the Fishes,0.684192,7.7,10.0,1997-01-01,1997,Enero,Miã©rcoles,0.0,0.0,0.0
Roseanna's Grave,1.081043,6.3,4.0,1997-03-06,1997,Marzo,Jueves,0.0,0.0,0.0
Head Above Water,2.357791,5.8,39.0,1996-11-07,1996,Noviembre,Jueves,0.0,0.0,0.0
Hercules,14.048694,7.3,1741.0,1997-06-26,1997,Junio,Jueves,252712101.0,85000000.0,2.9730835411764707
The Last Time I Committed Suicide,1.380375,6.7,7.0,1997-06-20,1997,Junio,Viernes,0.0,0.0,0.0
MURDER and murder,0.076975,8.0,2.0,1996-09-10,1996,Septiembre,Martes,0.0,0.0,0.0
My Best Friend's Wedding,4.678572,6.4,606.0,1997-06-19,1997,Junio,Jueves,299288605.0,38000000.0,7.876015921052631
Tetsuo II: Body Hammer,2.018292,5.6,24.0,1992-01-01,1992,Enero,Miã©rcoles,0.0,0.0,0.0
When the Cat's Away,0.834917,6.1,16.0,1996-04-03,1996,Abril,Miã©rcoles,0.0,0.0,0.0
Contempt,7.543337,7.5,138.0,1963-10-21,1963,Octubre,Lunes,528428.0,900000.0,0.5871422222222222
Face/Off,11.467391,6.8,1612.0,1997-06-27,1997,Junio,Viernes,245676146.0,80000000.0,3.070951825
Fall,1.555954,7.2,6.0,1997-06-20,1997,Junio,Viernes,0.0,0.0,0.0
Gabbeh,1.052071,7.5,6.0,1996-06-26,1996,Junio,Miã©rcoles,0.0,0.0,0.0
Mondo,0.311968,7.0,3.0,1995-06-01,1995,Junio,Jueves,0.0,0.0,0.0
The Innocent Sleep,1.221766,0.0,0.0,1996-01-25,1996,Enero,Jueves,0.0,0.0,0.0
For Ever Mozart,0.413422,8.0,3.0,1996-11-27,1996,Noviembre,Miã©rcoles,0.0,0.0,0.0
Men in Black,15.781024,6.9,4521.0,1997-07-02,1997,Julio,Miã©rcoles,589390539.0,90000000.0,6.548783766666666
Out to Sea,3.722389,5.8,20.0,1997-07-02,1997,Julio,Miã©rcoles,0.0,0.0,0.0
Wild America,7.477411,5.8,28.0,1997-07-02,1997,Julio,Miã©rcoles,0.0,0.0,0.0
A Simple Wish,3.354869,5.5,46.0,1997-07-11,1997,Julio,Viernes,8345056.0,28000000.0,0.2980377142857143
Contact,14.374866,7.2,1338.0,1997-07-11,1997,Julio,Viernes,171120329.0,90000000.0,1.901336988888889
Love Serenade,0.881482,6.0,4.0,1996-10-10,1996,Octubre,Jueves,0.0,0.0,0.0
G.I. Jane,9.37934,6.0,404.0,1997-08-22,1997,Agosto,Viernes,48169156.0,50000000.0,0.96338312
Conan the Barbarian,10.52008,6.6,663.0,1982-04-02,1982,Abril,Viernes,79114085.0,20000000.0,3.95570425
George of the Jungle,9.559685,5.4,508.0,1997-07-15,1997,Julio,Martes,0.0,55000000.0,0.0
Cop Land,9.15931,6.6,384.0,1997-08-15,1997,Agosto,Viernes,44862187.0,15000000.0,2.9908124666666667
Event Horizon,11.335072,6.4,752.0,1997-08-15,1997,Agosto,Viernes,26673242.0,60000000.0,0.4445540333333333
Spawn,11.366417,5.0,344.0,1997-07-31,1997,Julio,Jueves,87840042.0,40000000.0,2.19600105
Air Bud,9.407128,5.3,108.0,1997-08-01,1997,Agosto,Viernes,23144499.0,3000000.0,7.714833
Picture Perfect,4.347079,5.1,114.0,1997-08-01,1997,Agosto,Viernes,44332015.0,19000000.0,2.333263947368421
In the Company of Men,3.323672,6.8,45.0,1997-01-19,1997,Enero,Domingo,0.0,0.0,0.0
Free Willy 3: The Rescue,6.107833,5.6,76.0,1997-08-08,1997,Agosto,Viernes,0.0,0.0,0.0
Career Girls,3.459251,7.4,15.0,1997-06-01,1997,Junio,Domingo,0.0,0.0,0.0
Conspiracy Theory,14.261798,6.5,440.0,1997-08-07,1997,Agosto,Jueves,136982834.0,75000000.0,1.8264377866666666
Desperate Measures,3.713996,5.9,60.0,1998-01-30,1998,Enero,Viernes,0.0,50000000.0,0.0
Steel,2.890462,4.2,49.0,1997-08-15,1997,Agosto,Viernes,1686429.0,16000000.0,0.1054018125
She's So Lovely,2.314911,5.3,26.0,1997-08-29,1997,Agosto,Viernes,0.0,18000000.0,0.0
Hoodlum,2.384882,6.5,33.0,1997-08-27,1997,Agosto,Miã©rcoles,0.0,30000000.0,0.0
Leave it to Beaver,1.635911,5.2,20.0,1997-08-22,1997,Agosto,Viernes,0.0,0.0,0.0
Mimic,9.128905,5.7,255.0,1997-08-22,1997,Agosto,Viernes,25480490.0,30000000.0,0.8493496666666667
Money Talks,13.855037,6.0,90.0,1997-08-22,1997,Agosto,Viernes,0.0,0.0,0.0
Excess Baggage,3.714997,5.6,56.0,1997-08-29,1997,Agosto,Viernes,0.0,0.0,0.0
Kull the Conqueror,3.324195,5.2,39.0,1997-08-29,1997,Agosto,Viernes,0.0,0.0,0.0
Air Force One,12.173291,6.2,859.0,1997-07-25,1997,Julio,Viernes,315156409.0,85000000.0,3.7077224588235294
One Eight Seven,6.476493,6.5,141.0,1997-07-29,1997,Julio,Martes,5716080.0,20000000.0,0.285804
The Hunt for Red October,15.91126,7.2,971.0,1990-03-02,1990,Marzo,Viernes,199200000.0,30000000.0,6.64
My Own Private Idaho,7.289727,7.1,218.0,1991-10-17,1991,Octubre,Jueves,0.0,2500000.0,0.0
"Kiss Me, Guido",0.910655,4.4,10.0,1997-07-18,1997,Julio,Viernes,0.0,0.0,0.0
Star Maps,0.725694,5.3,3.0,1997-07-23,1997,Julio,Miã©rcoles,0.0,0.0,0.0
In & Out,9.949805,6.3,181.0,1997-09-10,1997,Septiembre,Miã©rcoles,0.0,35000000.0,0.0
The Edge,15.174973,6.8,359.0,1997-09-06,1997,Septiembre,Sã¡bado,43312294.0,0.0,0.0
The Peacemaker,8.868114,5.8,263.0,1997-09-26,1997,Septiembre,Viernes,0.0,50000000.0,0.0
L.A. Confidential,10.989442,7.7,1340.0,1997-09-19,1997,Septiembre,Viernes,126216940.0,35000000.0,3.6061982857142856
Seven Years in Tibet,11.483493,7.0,644.0,1997-09-12,1997,Septiembre,Viernes,131457682.0,70000000.0,1.8779668857142857
Kiss the Girls,12.235391,6.2,353.0,1997-10-03,1997,Octubre,Viernes,60527873.0,27000000.0,2.2417730740740742
Soul Food,2.647781,6.6,19.0,1997-09-26,1997,Septiembre,Viernes,0.0,0.0,0.0
Kicked in the Head,0.07992,5.0,1.0,1997-09-26,1997,Septiembre,Viernes,0.0,0.0,0.0
Wishmaster,5.215107,5.6,114.0,1997-09-19,1997,Septiembre,Viernes,15719109.0,5000000.0,3.1438218
A Thousand Acres,0.82942,5.7,11.0,1997-09-17,1997,Septiembre,Miã©rcoles,0.0,0.0,0.0
The Game,14.825587,7.5,1556.0,1997-09-12,1997,Septiembre,Viernes,109423648.0,50000000.0,2.18847296
Fire Down Below,7.83099,5.0,91.0,1997-09-05,1997,Septiembre,Viernes,16000000.0,60000000.0,0.26666666666666666
U Turn,7.923639,6.5,185.0,1997-10-03,1997,Octubre,Viernes,6682098.0,19000000.0,0.35168936842105264
The Locusts,0.53204,3.8,3.0,1997-10-03,1997,Octubre,Viernes,10082.0,0.0,0.0
The Matchmaker,3.742915,6.1,18.0,1997-10-03,1997,Octubre,Viernes,0.0,0.0,0.0
The Assignment,4.233187,6.6,41.0,1997-09-28,1997,Septiembre,Domingo,0.0,0.0,0.0
A Smile Like Yours,2.507368,3.2,6.0,1997-08-27,1997,Agosto,Miã©rcoles,0.0,0.0,0.0
Ulee's Gold,1.138972,6.5,19.0,1997-06-13,1997,Junio,Viernes,0.0,0.0,0.0
The Ice Storm,7.146352,6.9,181.0,1997-09-27,1997,Septiembre,Sã¡bado,8038061.0,18000000.0,0.44655894444444444
Stag,0.854723,5.8,6.0,1997-04-01,1997,Abril,Martes,0.0,0.0,0.0
Chasing Amy,12.311564,6.7,441.0,1997-04-04,1997,Abril,Viernes,12021272.0,250000.0,48.085088
Def Jam's How to Be a Player,0.883889,5.4,9.0,1997-08-06,1997,Agosto,Miã©rcoles,13960203.0,0.0,0.0
The Full Monty,8.333322,6.9,372.0,1997-08-13,1997,Agosto,Miã©rcoles,257850122.0,3500000.0,73.67146342857143
Alive and Kicking,0.873828,0.0,1.0,1996-11-08,1996,Noviembre,Viernes,0.0,0.0,0.0
Mrs Brown,3.883913,6.6,45.0,1997-07-18,1997,Julio,Viernes,0.0,0.0,0.0
I Know What You Did Last Summer,7.417157,5.6,698.0,1997-10-17,1997,Octubre,Viernes,125586134.0,17000000.0,7.387419647058824
The Devil's Advocate,10.920124,7.2,1414.0,1997-10-17,1997,Octubre,Viernes,152944660.0,57000000.0,2.683239649122807
RocketMan,5.345663,5.4,36.0,1997-10-10,1997,Octubre,Viernes,0.0,16000000.0,0.0
Playing God,9.657642,5.6,26.0,1997-10-17,1997,Octubre,Viernes,4000000.0,12000000.0,0.3333333333333333
The House of Yes,3.974374,6.3,30.0,1997-10-10,1997,Octubre,Viernes,626057.0,1500000.0,0.4173713333333333
"Fast, Cheap & Out of Control",2.117703,8.3,8.0,1997-10-03,1997,Octubre,Viernes,832735.0,0.0,0.0
Washington Square,1.301573,7.4,5.0,1997-10-10,1997,Octubre,Viernes,1.0,0.0,0.0
Telling Lies In America,1.886677,6.3,6.0,1997-08-02,1997,Agosto,Sã¡bado,0.0,0.0,0.0
Year of the Horse,0.405805,3.8,3.0,1997-10-08,1997,Octubre,Miã©rcoles,0.0,0.0,0.0
Gattaca,12.89312,7.5,1846.0,1997-09-07,1997,Septiembre,Domingo,12532777.0,36000000.0,0.34813269444444445
FairyTale: A True Story,3.553746,6.2,25.0,1997-01-01,1997,Enero,Miã©rcoles,14000000.0,0.0,0.0
Phantoms,10.754614,5.2,110.0,1998-01-23,1998,Enero,Viernes,5624282.0,0.0,0.0
Swept from the Sea,9.688237,6.5,12.0,1998-01-23,1998,Enero,Viernes,0.0,0.0,0.0
Wonderland,0.002635,0.0,0.0,1997-10-17,1997,Octubre,Viernes,0.0,0.0,0.0
A Life Less Ordinary,15.996171,6.2,130.0,1997-10-24,1997,Octubre,Viernes,0.0,12000000.0,0.0
Hurricane Streets,0.629699,4.8,4.0,1997-01-21,1997,Enero,Martes,0.0,0.0,0.0
Eve's Bayou,1.461772,6.3,29.0,1997-09-07,1997,Septiembre,Domingo,0.0,0.0,0.0
Switchback,3.742824,5.8,52.0,1997-10-31,1997,Octubre,Viernes,6482195.0,37000000.0,0.17519445945945947
Gang Related,2.592927,6.5,32.0,1997-10-08,1997,Octubre,Miã©rcoles,5790448.0,0.0,0.0
Stripes,11.341505,6.5,253.0,1981-06-25,1981,Junio,Jueves,85300000.0,10000000.0,8.53
Nenette and Boni,0.551124,8.0,7.0,1997-01-29,1997,Enero,Miã©rcoles,0.0,0.0,0.0
