title,popularity,vote_average,vote_count,release_date,release_year,month_name,day_name,lowercase_title
Command Performance,2.762953,4.9,29.0,2009-01-01,2009,Enero,Jueves,command performance
Direct Contact,6.078318,4.4,15.0,2009-04-16,2009,Abril,Jueves,direct contact
The Matriarch,0.271386,5.3,3.0,2007-09-14,2007,Septiembre,Viernes,the matriarch
Land of the Pharaohs,1.323773,6.0,16.0,1955-07-24,1955,Julio,Domingo,land of the pharaohs
Heart of Midnight,0.920379,5.6,8.0,1988-11-10,1988,Noviembre,Jueves,heart of midnight
The Sun Also Rises,1.368063,5.4,6.0,1957-08-23,1957,Agosto,Viernes,the sun also rises
Youth in Revolt,5.433934,5.9,323.0,2009-09-11,2009,Septiembre,Viernes,youth in revolt
Daybreakers,10.038613,6.0,646.0,2009-01-06,2009,Enero,Martes,daybreakers
The Milk of Sorrow,0.982504,6.6,23.0,2009-02-12,2009,Febrero,Jueves,the milk of sorrow
The Age of Stupid,1.101593,6.2,18.0,2009-09-21,2009,Septiembre,Lunes,the age of stupid
Missionary Man,1.367062,5.5,11.0,2007-11-29,2007,Noviembre,Jueves,missionary man
Diamond Dogs,1.821627,4.1,12.0,2007-01-01,2007,Enero,Lunes,diamond dogs
Hachi: A Dog's Tale,8.621359,7.7,1769.0,2009-06-13,2009,Junio,Sábado,hachi: a dog's tale
Twogether,0.047019,0.0,0.0,1994-01-01,1994,Enero,Sábado,twogether
Enid Is Sleeping,1.304582,3.5,2.0,1991-05-17,1991,Mayo,Viernes,enid is sleeping
10 MPH,0.054354,9.0,1.0,2007-01-01,2007,Enero,Lunes,10 mph
"The Prophet, the Gold, and the Transylvanians",0.259357,0.0,0.0,1978-02-12,1978,Febrero,Domingo,"the prophet, the gold, and the transylvanians"
Leap Year,7.432311,6.5,474.0,2010-01-08,2010,Enero,Viernes,leap year
The Book of Eli,14.39853,6.6,2207.0,2010-01-14,2010,Enero,Jueves,the book of eli
The Girl Who Kicked the Hornet's Nest,8.405013,7.0,451.0,2009-11-27,2009,Noviembre,Viernes,the girl who kicked the hornet's nest
Tickets,0.663224,6.0,8.0,2005-03-25,2005,Marzo,Viernes,tickets
Hickey & Boggs,0.801399,6.5,12.0,1972-10-04,1972,Octubre,Miércoles,hickey & boggs
Mister Johnson,5.309937,5.8,9.0,1990-09-08,1990,Septiembre,Sábado,mister johnson
The Innocent,11.95878,6.0,16.0,1976-09-09,1976,Septiembre,Jueves,the innocent
A Prophet,6.892315,7.5,398.0,2009-08-26,2009,Agosto,Miércoles,a prophet
"Man, Woman and Beast",0.058556,4.0,3.0,1977-01-01,1977,Enero,Sábado,"man, woman and beast"
A Guide for the Married Man,2.063207,6.3,11.0,1967-01-01,1967,Enero,Domingo,a guide for the married man
Dead Time,0.369155,6.5,2.0,2007-04-19,2007,Abril,Jueves,dead time
The Phantom Lover,0.273083,6.8,2.0,1995-07-22,1995,Julio,Sábado,the phantom lover
Staten Island,10.143164,6.4,23.0,2009-02-07,2009,Febrero,Sábado,staten island
Princess,3.879014,6.2,13.0,2006-06-16,2006,Junio,Viernes,princess
Collapse,2.221044,7.7,39.0,2009-09-12,2009,Septiembre,Sábado,collapse
Last Resort,0.647706,5.5,7.0,2000-02-23,2000,Febrero,Miércoles,last resort
The Yacoubian Building,0.719249,6.8,14.0,2006-06-01,2006,Junio,Jueves,the yacoubian building
Metal Gear Solid: Philanthropy,0.254232,6.4,7.0,2009-09-27,2009,Septiembre,Domingo,metal gear solid: philanthropy
My One and Only,4.138817,6.2,45.0,2009-08-21,2009,Agosto,Viernes,my one and only
Birdsong,0.185391,8.0,4.0,2008-12-19,2008,Diciembre,Viernes,birdsong
The Maiden Heist,6.776165,5.8,102.0,2009-05-09,2009,Mayo,Sábado,the maiden heist
Hidden Agenda,0.685233,6.0,3.0,2001-05-12,2001,Mayo,Sábado,hidden agenda
Detention,1.437403,5.6,9.0,2003-07-05,2003,Julio,Sábado,detention
I Live My Life,0.80842,1.3,3.0,1935-10-04,1935,Octubre,Viernes,i live my life
The V.I.P.s,0.547188,5.4,13.0,1963-05-01,1963,Mayo,Miércoles,the v.i.p.s
Flavor of Green Tea Over Rice,0.727895,7.5,4.0,1952-10-01,1952,Octubre,Miércoles,flavor of green tea over rice
Louie Bluie,0.014346,9.0,3.0,1985-01-01,1985,Enero,Martes,louie bluie
Ernest Goes to School,1.229301,3.7,9.0,1994-12-14,1994,Diciembre,Miércoles,ernest goes to school
Direct Action,2.480543,4.1,11.0,2004-01-01,2004,Enero,Jueves,direct action
The Defender,1.001318,4.9,10.0,2004-12-20,2004,Diciembre,Lunes,the defender
Mr. Warmth: The Don Rickles Project,1.590689,6.1,4.0,2007-12-04,2007,Diciembre,Martes,mr. warmth: the don rickles project
Shooting War,0.468108,5.3,2.0,2000-12-07,2000,Diciembre,Jueves,shooting war
Semper Fi,0.370146,0.0,0.0,2001-04-01,2001,Abril,Domingo,semper fi
Puppet Master: The Legacy,1.169339,2.1,10.0,2003-12-16,2003,Diciembre,Martes,puppet master: the legacy
Gretchen the Greenhorn,0.153125,5.5,2.0,1916-09-03,1916,Septiembre,Domingo,gretchen the greenhorn
Blood: The Last Vampire,7.524117,5.1,94.0,2009-04-02,2009,Abril,Jueves,blood: the last vampire
Liverpool,0.411596,7.3,9.0,2008-10-30,2008,Octubre,Jueves,liverpool
Theodora Goes Wild,0.702752,6.3,3.0,1936-11-12,1936,Noviembre,Jueves,theodora goes wild
MacGyver: Lost Treasure of Atlantis,0.967882,5.6,19.0,1994-05-14,1994,Mayo,Sábado,macgyver: lost treasure of atlantis
Pekka ja Pätkä Suezilla,0.062996,6.0,1.0,1958-12-08,1958,Diciembre,Lunes,pekka ja pätkä suezilla
Don't Touch the Axe,0.222668,5.5,4.0,2007-03-28,2007,Marzo,Miércoles,don't touch the axe
Horsemen,7.455953,5.5,124.0,2009-02-06,2009,Febrero,Viernes,horsemen
"Swades: We, the People",4.971198,7.3,78.0,2004-12-17,2004,Diciembre,Viernes,"swades: we, the people"
Bart Got a Room,11.561666,5.9,21.0,2008-04-25,2008,Abril,Viernes,bart got a room
Jerichow,1.242183,6.3,9.0,2008-01-01,2008,Enero,Martes,jerichow
A Matter of Dignity,0.040883,5.0,1.0,1958-04-30,1958,Abril,Miércoles,a matter of dignity
The Spousals of God,0.503167,8.8,4.0,1999-10-15,1999,Octubre,Viernes,the spousals of god
The Last of England,2.592915,6.1,6.0,1987-08-23,1987,Agosto,Domingo,the last of england
Harmful Insect,0.487234,7.0,5.0,2001-03-16,2001,Marzo,Viernes,harmful insect
Project A II,6.7196,6.6,56.0,1987-08-19,1987,Agosto,Miércoles,project a ii
"My Son, My Son, What Have Ye Done",3.349413,6.0,54.0,2009-09-06,2009,Septiembre,Domingo,"my son, my son, what have ye done"
Fire-Eater,0.235882,3.0,1.0,1998-10-29,1998,Octubre,Jueves,fire-eater
Soul Kitchen,4.79386,7.0,117.0,2009-09-09,2009,Septiembre,Miércoles,soul kitchen
Quiet Chaos,3.03607,6.5,32.0,2008-02-01,2008,Febrero,Viernes,quiet chaos
Heat,0.466019,6.3,6.0,1972-10-06,1972,Octubre,Viernes,heat
"The Devil, Probably",0.767395,7.0,12.0,1977-06-15,1977,Junio,Miércoles,"the devil, probably"
Altiplano,0.166009,4.7,3.0,2009-11-25,2009,Noviembre,Miércoles,altiplano
One Way Passage,1.777029,6.7,9.0,1932-10-22,1932,Octubre,Sábado,one way passage
"The Actress, the Dollars and the Transylvanians",0.25,0.0,0.0,1978-12-22,1978,Diciembre,Viernes,"the actress, the dollars and the transylvanians"
The House on Sorority Row,1.918891,6.0,34.0,1983-01-21,1983,Enero,Viernes,the house on sorority row
Dragon Hunters,10.938912,6.5,131.0,2008-03-19,2008,Marzo,Miércoles,dragon hunters
The 27 Club,0.040054,8.0,1.0,2008-04-26,2008,Abril,Sábado,the 27 club
Rob-B-Hood,12.183711,6.6,107.0,2006-09-28,2006,Septiembre,Jueves,rob-b-hood
Year of the Comet,0.720374,6.9,4.0,1992-04-24,1992,Abril,Viernes,year of the comet
The Concert,4.318909,6.9,129.0,2009-09-01,2009,Septiembre,Martes,the concert
Macheads,0.152437,5.5,4.0,2009-01-01,2009,Enero,Jueves,macheads
Welcome To Macintosh,0.294119,5.2,5.0,2008-05-06,2008,Mayo,Martes,welcome to macintosh
The Butterfly,1.468247,6.9,26.0,2002-12-18,2002,Diciembre,Miércoles,the butterfly
The Other Man,4.674662,5.1,58.0,2008-12-25,2008,Diciembre,Jueves,the other man
Wrong Turn at Tahoe,3.629657,6.3,24.0,2009-11-16,2009,Noviembre,Lunes,wrong turn at tahoe
Ninja,9.203341,5.4,87.0,2009-10-22,2009,Octubre,Jueves,ninja
If You Love,0.368731,7.5,4.0,2010-01-06,2010,Enero,Miércoles,if you love
The Queen and I,0.409213,5.0,3.0,2008-11-20,2008,Noviembre,Jueves,the queen and i
The Long Day Closes,1.190292,7.2,16.0,1992-05-22,1992,Mayo,Viernes,the long day closes
The Baker's Wife,0.491306,7.9,8.0,1938-09-07,1938,Septiembre,Miércoles,the baker's wife
Fighter,0.496686,4.7,6.0,2007-12-14,2007,Diciembre,Viernes,fighter
The Story of a Cheat,0.646416,7.6,10.0,1936-10-02,1936,Octubre,Viernes,the story of a cheat
Subarnarekha,0.119106,7.7,3.0,1965-10-13,1965,Octubre,Miércoles,subarnarekha
Douce,0.095589,8.0,2.0,1943-11-09,1943,Noviembre,Martes,douce
Kid Galahad,0.86193,7.0,12.0,1937-05-29,1937,Mayo,Sábado,kid galahad
Asterix at the Olympic Games,9.671944,5.0,486.0,2008-01-13,2008,Enero,Domingo,asterix at the olympic games
The Chaser,7.062323,7.7,250.0,2008-02-14,2008,Febrero,Jueves,the chaser
Flock of Dodos: The Evolution-Intelligent Design Circus,0.672521,5.6,5.0,2006-01-01,2006,Enero,Domingo,flock of dodos: the evolution-intelligent design circus
My Sex Life... or How I Got Into an Argument,0.270279,5.8,6.0,1996-05-01,1996,Mayo,Miércoles,my sex life... or how i got into an argument
Hannah Takes the Stairs,0.564638,5.6,8.0,2007-03-11,2007,Marzo,Domingo,hannah takes the stairs
Meantime,1.509256,6.8,18.0,1984-03-14,1984,Marzo,Miércoles,meantime
Abigail's Party,0.704172,7.4,10.0,1977-11-01,1977,Noviembre,Martes,abigail's party
Violence at Noon,1.101985,5.3,8.0,1966-07-15,1966,Julio,Viernes,violence at noon
Mega Shark vs Giant Octopus,4.566951,3.7,54.0,2009-05-19,2009,Mayo,Martes,mega shark vs giant octopus
Mall Girls,1.127443,5.4,7.0,2009-09-25,2009,Septiembre,Viernes,mall girls
Landscape No. 2,0.114365,5.0,1.0,2009-06-05,2009,Junio,Viernes,landscape no. 2
Dr. Otto and the Riddle of the Gloom Beam,0.111171,6.0,3.0,1986-04-09,1986,Abril,Miércoles,dr. otto and the riddle of the gloom beam
"Rudolph, the Red-Nosed Reindeer",7.129761,6.9,131.0,1964-12-06,1964,Diciembre,Domingo,"rudolph, the red-nosed reindeer"
A Dennis the Menace Christmas,1.215778,4.8,15.0,2007-11-10,2007,Noviembre,Sábado,a dennis the menace christmas
Nowhere Boy,5.08732,7.2,250.0,2009-12-25,2009,Diciembre,Viernes,nowhere boy
Note by Note: The Making of Steinway L1037,0.128607,7.3,3.0,2007-11-07,2007,Noviembre,Miércoles,note by note: the making of steinway l1037
Garbage Warrior,0.132201,8.0,2.0,2007-04-19,2007,Abril,Jueves,garbage warrior
The Thaw,6.487576,5.1,73.0,2009-01-01,2009,Enero,Jueves,the thaw
The Living Room of the Nation,0.07998,4.8,2.0,2009-09-11,2009,Septiembre,Viernes,the living room of the nation
Blood and Bone,12.673118,6.6,131.0,2009-02-07,2009,Febrero,Sábado,blood and bone
Undisputed II: Last Man Standing,18.957084,6.8,148.0,2006-04-11,2006,Abril,Martes,undisputed ii: last man standing
Motocrossed,1.082428,4.4,15.0,2001-02-16,2001,Febrero,Viernes,motocrossed
3 Idiots,7.675621,7.8,850.0,2009-12-23,2009,Diciembre,Miércoles,3 idiots
Svampe,3.3e-05,0.0,0.0,1990-12-26,1990,Diciembre,Miércoles,svampe
Troubled Water,2.180399,7.2,28.0,2008-09-26,2008,Septiembre,Viernes,troubled water
Hum Tum,2.58331,6.1,23.0,2004-05-28,2004,Mayo,Viernes,hum tum
Genevieve,1.152132,6.3,16.0,1953-05-28,1953,Mayo,Jueves,genevieve
Sometimes a Great Notion,1.985376,7.0,28.0,1970-12-31,1970,Diciembre,Jueves,sometimes a great notion
Out of It,1.352869,6.6,15.0,1978-10-10,1978,Octubre,Martes,out of it
Running Mates,0.746921,5.5,2.0,1992-10-04,1992,Octubre,Domingo,running mates
Legion,13.795875,5.2,643.0,2010-01-21,2010,Enero,Jueves,legion
Air Force,0.955413,6.3,11.0,1943-03-20,1943,Marzo,Sábado,air force
Coquette,0.457598,5.4,5.0,1929-04-06,1929,Abril,Sábado,coquette
Unconquered,1.637557,5.1,7.0,1947-09-24,1947,Septiembre,Miércoles,unconquered
Man Hunt,6.924131,6.8,31.0,1941-06-13,1941,Junio,Viernes,man hunt
The Maid,1.199005,6.8,25.0,2009-10-16,2009,Octubre,Viernes,the maid
"The Oil, the Baby and the Transylvanians",0.035727,0.0,0.0,1981-01-12,1981,Enero,Lunes,"the oil, the baby and the transylvanians"
Defenseless,0.694327,5.7,3.0,1991-08-23,1991,Agosto,Viernes,defenseless
Pyrates,0.375724,0.0,0.0,1991-12-18,1991,Diciembre,Miércoles,pyrates
Silent Wedding,1.629036,7.0,15.0,2009-02-18,2009,Febrero,Miércoles,silent wedding
A Fine Mess,0.765825,3.4,5.0,1986-08-08,1986,Agosto,Viernes,a fine mess
Thomas Pynchon: A Journey Into the Mind of P.,0.002844,0.0,0.0,2003-05-02,2003,Mayo,Viernes,thomas pynchon: a journey into the mind of p.
Rahtree: Flower of the Night,1.245891,5.7,8.0,2003-11-13,2003,Noviembre,Jueves,rahtree: flower of the night
Beautiful,2.713961,4.6,17.0,2009-04-27,2009,Abril,Lunes,beautiful
Stan Helsing,5.280974,4.1,99.0,2009-10-27,2009,Octubre,Martes,stan helsing
Forgiven,0.008198,0.0,0.0,2007-08-15,2007,Agosto,Miércoles,forgiven
Peter Pan,0.257941,7.3,6.0,1960-01-01,1960,Enero,Viernes,peter pan
Wicked City,2.684329,7.1,31.0,1987-04-19,1987,Abril,Domingo,wicked city
Cabiria,0.704028,6.8,22.0,1914-06-01,1914,Junio,Lunes,cabiria
Virginia City,0.833855,5.4,4.0,1940-03-23,1940,Marzo,Sábado,virginia city
Female Yakuza Tale,1.041534,6.6,13.0,1973-06-06,1973,Junio,Miércoles,female yakuza tale
Together Again,0.967785,6.5,2.0,1944-12-23,1944,Diciembre,Sábado,together again
If You Could Only Cook,0.430813,6.8,4.0,1935-12-30,1935,Diciembre,Lunes,if you could only cook
Arn: The Kingdom at Road's End,3.861969,6.1,30.0,2008-08-22,2008,Agosto,Viernes,arn: the kingdom at road's end
Japan's Longest Day,0.271087,6.8,6.0,1967-08-12,1967,Agosto,Sábado,japan's longest day
Dante's Hell Animated,0.787493,8.0,4.0,2013-11-25,2013,Noviembre,Lunes,dante's hell animated
Shriek of the Mutilated,0.146623,5.3,2.0,1974-08-02,1974,Agosto,Viernes,shriek of the mutilated
Four Eyed Monsters,0.634211,6.0,10.0,2005-01-21,2005,Enero,Viernes,four eyed monsters
Extraordinary Measures,6.523155,6.0,93.0,2010-01-21,2010,Enero,Jueves,extraordinary measures
Havukka-Ahon Ajattelija,0.164919,6.3,3.0,2010-01-15,2010,Enero,Viernes,havukka-ahon ajattelija
Too Many Husbands,0.539853,7.2,3.0,1940-04-03,1940,Abril,Miércoles,too many husbands
The Red Baron,4.918419,6.4,80.0,2008-03-29,2008,Marzo,Sábado,the red baron
The Holy Innocents,1.207703,7.6,24.0,1984-04-04,1984,Abril,Miércoles,the holy innocents
Crime and Punishment,1.095264,5.9,12.0,1935-11-22,1935,Noviembre,Viernes,crime and punishment
More Than a Game,1.199003,7.2,17.0,2008-09-06,2008,Septiembre,Sábado,more than a game
Falling Up,13.313415,5.2,22.0,2009-09-29,2009,Septiembre,Martes,falling up
Zach Galifianakis: Live at the Purple Onion,4.70231,7.3,24.0,2007-03-06,2007,Marzo,Martes,zach galifianakis: live at the purple onion
When in Rome,10.118113,5.7,389.0,2010-01-29,2010,Enero,Viernes,when in rome
Edge of Darkness,9.554067,6.2,496.0,2010-01-29,2010,Enero,Viernes,edge of darkness
Ethan Mao,0.412259,3.7,3.0,2004-11-14,2004,Noviembre,Domingo,ethan mao
Charlie Chan in Shanghai,1.540778,7.0,8.0,1935-10-14,1935,Octubre,Lunes,charlie chan in shanghai
The Hands of Orlac,0.979118,6.9,19.0,1924-09-23,1924,Septiembre,Martes,the hands of orlac
Mad Detective,2.061375,7.0,45.0,2007-11-29,2007,Noviembre,Jueves,mad detective
The Quince Tree Sun,0.001655,6.2,6.0,1992-10-01,1992,Octubre,Jueves,the quince tree sun
Triangle,10.217404,6.9,623.0,2009-10-16,2009,Octubre,Viernes,triangle
The Perfect Circle,0.23842,6.9,9.0,1997-08-24,1997,Agosto,Domingo,the perfect circle
Rampage,2.946078,6.5,11.0,1987-09-01,1987,Septiembre,Martes,rampage
The Ambulance,1.756955,6.0,21.0,1989-11-23,1989,Noviembre,Jueves,the ambulance
Cimarron,2.000936,5.2,14.0,1960-12-01,1960,Diciembre,Jueves,cimarron
Dangerous,2.365103,6.8,9.0,1935-12-25,1935,Diciembre,Miércoles,dangerous
I Never Sang for My Father,0.815137,6.4,5.0,1970-10-18,1970,Octubre,Domingo,i never sang for my father
Space Pirate Captain Harlock: Arcadia of My Youth,0.612085,6.7,9.0,1982-01-01,1982,Enero,Viernes,space pirate captain harlock: arcadia of my youth
I Love You Phillip Morris,5.773752,6.4,514.0,2009-01-18,2009,Enero,Domingo,i love you phillip morris
Anne of Green Gables: The Sequel,3.496181,8.0,36.0,1987-05-19,1987,Mayo,Martes,anne of green gables: the sequel
The Donner Party,0.665873,5.0,1.0,2009-10-23,2009,Octubre,Viernes,the donner party
Electric Shadows,0.261949,6.4,7.0,2004-09-11,2004,Septiembre,Sábado,electric shadows
Mistress,1.60034,5.7,10.0,1992-07-24,1992,Julio,Viernes,mistress
Extreme Justice,0.94439,6.3,3.0,1993-01-01,1993,Enero,Viernes,extreme justice
The Sun,1.134351,6.6,15.0,2005-02-17,2005,Febrero,Jueves,the sun
Vivacious Lady,0.67326,6.0,11.0,1938-08-31,1938,Agosto,Miércoles,vivacious lady
Escape from Suburbia: Beyond the American Dream,0.038858,6.0,1.0,2007-01-01,2007,Enero,Lunes,escape from suburbia: beyond the american dream
Temple Grandin,4.762242,7.7,93.0,2010-02-06,2010,Febrero,Sábado,temple grandin
The First Day of the Rest of Your Life,6.173752,7.5,139.0,2008-07-23,2008,Julio,Miércoles,the first day of the rest of your life
Me and Him,0.645652,0.0,1.0,1988-09-14,1988,Septiembre,Miércoles,me and him
Désirée,0.556292,7.2,5.0,1954-11-16,1954,Noviembre,Martes,désirée
Thank God It's Friday,0.914133,4.6,8.0,1978-05-19,1978,Mayo,Viernes,thank god it's friday
"Captain Newman, M.D.",0.858836,5.3,3.0,1963-12-25,1963,Diciembre,Miércoles,"captain newman, m.d."
Serious Moonlight,4.747197,5.2,52.0,2009-12-04,2009,Diciembre,Viernes,serious moonlight
The House of the Devil,5.706196,6.0,201.0,2009-04-25,2009,Abril,Sábado,the house of the devil
Black Legion,0.703532,6.4,6.0,1937-01-30,1937,Enero,Sábado,black legion
The Hero: Love Story of a Spy,0.735283,5.0,5.0,2003-04-10,2003,Abril,Jueves,the hero: love story of a spy
Lucky: No Time for Love,0.204307,4.5,5.0,2005-04-08,2005,Abril,Viernes,lucky: no time for love
Fish Tank,6.070216,6.9,256.0,2009-05-14,2009,Mayo,Jueves,fish tank
Love Stories,5.793932,6.9,59.0,2000-10-27,2000,Octubre,Viernes,love stories
Absurdistan,0.590386,6.4,7.0,2008-01-20,2008,Enero,Domingo,absurdistan
Takva: A Man's Fear of God,0.862463,7.7,13.0,2006-12-01,2006,Diciembre,Viernes,takva: a man's fear of god
The Wounds,0.732884,7.2,16.0,1998-05-27,1998,Mayo,Miércoles,the wounds
Body Bags,2.954229,5.7,52.0,1993-08-07,1993,Agosto,Sábado,body bags
Legend of the Red Dragon,2.946935,6.3,24.0,1994-02-05,1994,Febrero,Sábado,legend of the red dragon
The Hound of the Baskervilles,0.937805,6.4,7.0,2000-10-28,2000,Octubre,Sábado,the hound of the baskervilles
The Royal Scandal,0.193886,5.3,5.0,2001-10-19,2001,Octubre,Viernes,the royal scandal
Valentine's Day,7.466721,5.7,1043.0,2010-02-10,2010,Febrero,Miércoles,valentine's day
The Wolfman,9.297209,5.5,562.0,2010-02-11,2010,Febrero,Jueves,the wolfman
Babysitter Wanted,8.262337,5.3,53.0,2009-02-06,2009,Febrero,Viernes,babysitter wanted
Shutter Island,15.813629,7.8,6559.0,2010-02-18,2010,Febrero,Jueves,shutter island
The Sign of Four,0.084953,6.0,2.0,2001-03-23,2001,Marzo,Viernes,the sign of four
The Case of the Whitechapel Vampire,0.489897,3.8,3.0,2002-10-27,2002,Octubre,Domingo,the case of the whitechapel vampire
The Headless Woman,1.20873,5.8,14.0,2008-08-21,2008,Agosto,Jueves,the headless woman
Yellow,0.006175,0.0,0.0,1998-05-29,1998,Mayo,Viernes,yellow
The Other End of the Line,3.438508,6.1,51.0,2008-10-29,2008,Octubre,Miércoles,the other end of the line
Bitch Slap,7.489306,4.5,92.0,2009-05-16,2009,Mayo,Sábado,bitch slap
$9.99,3.350555,6.0,28.0,2008-09-04,2008,Septiembre,Jueves,$9.99
Ondine,4.757269,6.5,84.0,2009-09-14,2009,Septiembre,Lunes,ondine
1066: The Battle for Middle Earth,0.133927,0.0,0.0,2009-05-18,2009,Mayo,Lunes,1066: the battle for middle earth
The Steam Experiment,1.779516,3.7,17.0,2009-03-01,2009,Marzo,Domingo,the steam experiment
Letters to Father Jacob,0.570175,6.8,8.0,2009-04-03,2009,Abril,Viernes,letters to father jacob
The Bakery Girl of Monceau,0.996818,6.4,12.0,1963-01-01,1963,Enero,Martes,the bakery girl of monceau
Persuasion,6.955841,7.1,52.0,2007-04-01,2007,Abril,Domingo,persuasion
The Girl Who Played with Fire,14.38601,6.9,561.0,2009-09-18,2009,Septiembre,Viernes,the girl who played with fire
Steal This Film,1.097684,5.0,14.0,2006-08-21,2006,Agosto,Lunes,steal this film
Percy Jackson & the Olympians: The Lightning Thief,9.785895,6.0,2079.0,2010-02-01,2010,Febrero,Lunes,percy jackson & the olympians: the lightning thief
Cop Out,14.313079,5.3,518.0,2010-02-26,2010,Febrero,Viernes,cop out
Mademoiselle,0.612006,7.3,7.0,1966-06-01,1966,Junio,Miércoles,mademoiselle
Trailer Park Boys: Countdown to Liquor Day,3.093829,7.0,42.0,2009-09-25,2009,Septiembre,Viernes,trailer park boys: countdown to liquor day
The Ghost Writer,6.76482,6.7,681.0,2010-02-12,2010,Febrero,Viernes,the ghost writer
Darling Lili,0.552281,4.9,8.0,1970-01-01,1970,Enero,Jueves,darling lili
The Secret of Kells,5.544992,7.3,184.0,2009-02-09,2009,Febrero,Lunes,the secret of kells
The Vicious Kind,2.425754,6.4,46.0,2009-01-17,2009,Enero,Sábado,the vicious kind
The Secret of Santa Vittoria,1.63702,6.1,12.0,1969-01-01,1969,Enero,Miércoles,the secret of santa vittoria
The Spy Next Door,6.663422,5.5,351.0,2010-01-15,2010,Enero,Viernes,the spy next door
I Hope They Serve Beer in Hell,3.208138,5.7,20.0,2009-09-25,2009,Septiembre,Viernes,i hope they serve beer in hell
Caged,0.957227,6.7,13.0,1950-05-19,1950,Mayo,Viernes,caged
The House on 92nd Street,0.485843,5.2,11.0,1945-09-10,1945,Septiembre,Lunes,the house on 92nd street
Blood Done Sign My Name,0.518507,6.0,5.0,2010-02-01,2010,Febrero,Lunes,blood done sign my name
Thérèse Raquin,1.726864,6.3,9.0,1953-11-06,1953,Noviembre,Viernes,thérèse raquin
Mysterious Island,3.228053,4.9,17.0,2005-09-17,2005,Septiembre,Sábado,mysterious island
Dare,2.080893,5.6,24.0,2009-11-13,2009,Noviembre,Viernes,dare
Agora,8.029671,6.9,404.0,2009-05-17,2009,Mayo,Domingo,agora
Tom Thumb,1.045618,6.2,8.0,1958-12-24,1958,Diciembre,Miércoles,tom thumb
Singh Is Kinng,1.369086,5.3,22.0,2008-01-01,2008,Enero,Martes,singh is kinng
Motherhood,8.42093,4.8,45.0,2009-01-21,2009,Enero,Miércoles,motherhood
Shades of Ray,1.394956,6.5,7.0,2008-10-18,2008,Octubre,Sábado,shades of ray
Shinjuku Incident,4.382125,6.7,68.0,2009-03-22,2009,Marzo,Domingo,shinjuku incident
High Life,6.936818,6.1,20.0,2009-02-07,2009,Febrero,Sábado,high life
District 13: Ultimatum,9.133996,6.0,323.0,2009-02-18,2009,Febrero,Miércoles,district 13: ultimatum
Rockaway,0.098675,5.8,2.0,2007-07-07,2007,Julio,Sábado,rockaway
Fast Lane,0.268346,4.2,6.0,2010-02-03,2010,Febrero,Miércoles,fast lane
Pudana: Last of the Line,0.041176,5.0,1.0,2010-02-26,2010,Febrero,Viernes,pudana: last of the line
The Yes Men Fix the World,1.372814,7.0,29.0,2009-01-18,2009,Enero,Domingo,the yes men fix the world
Pekka ja Pätkä puistotäteinä,0.10156,4.0,2.0,1955-03-04,1955,Marzo,Viernes,pekka ja pätkä puistotäteinä
Mike Bassett: England Manager,1.659274,7.2,15.0,2001-09-28,2001,Septiembre,Viernes,mike bassett: england manager
The Crazies,10.914556,6.2,649.0,2010-02-26,2010,Febrero,Viernes,the crazies
Dear John,8.371479,6.6,1302.0,2010-02-04,2010,Febrero,Jueves,dear john
Last Train Home,0.719517,6.8,19.0,2009-06-06,2009,Junio,Sábado,last train home
Tooth Fairy,6.74468,5.2,500.0,2010-01-14,2010,Enero,Jueves,tooth fairy
Of Time and the City,0.623718,7.4,9.0,2008-10-31,2008,Octubre,Viernes,of time and the city
"La Commune (Paris, 1871)",0.286634,6.1,8.0,2001-09-06,2001,Septiembre,Jueves,"la commune (paris, 1871)"
Gentlemen of Fortune,3.142233,7.4,39.0,1971-12-13,1971,Diciembre,Lunes,gentlemen of fortune
Eden Log,5.825183,4.8,60.0,2007-12-26,2007,Diciembre,Miércoles,eden log
Trap,0.038825,5.0,1.0,2007-10-27,2007,Octubre,Sábado,trap
Isolation,3.727745,5.6,57.0,2005-09-10,2005,Septiembre,Sábado,isolation
Fermat's Room,3.950545,6.6,85.0,2007-10-07,2007,Octubre,Domingo,fermat's room
Under the Bombs,0.488704,7.0,4.0,2007-09-02,2007,Septiembre,Domingo,under the bombs
[REC]²,8.853168,6.5,496.0,2009-09-15,2009,Septiembre,Martes,[rec]²
Cabin Fever 2: Spring Fever,5.187,4.4,96.0,2009-08-11,2009,Agosto,Martes,cabin fever 2: spring fever
The Room,6.490979,4.3,191.0,2003-06-27,2003,Junio,Viernes,the room
Killer Bean 2: The Party,0.022707,0.0,0.0,2000-08-08,2000,Agosto,Martes,killer bean 2: the party
The Scarlet Dove,0.159754,7.0,1.0,1961-03-09,1961,Marzo,Jueves,the scarlet dove
Asphalt Lambs,0.036471,7.0,1.0,1968-12-20,1968,Diciembre,Viernes,asphalt lambs
Lars i porten,0.0,0.0,0.0,1984-12-30,1984,Diciembre,Domingo,lars i porten
My Name Is Khan,11.264586,7.7,237.0,2010-02-12,2010,Febrero,Viernes,my name is khan
Alice in Wonderland,17.285093,6.4,4773.0,2010-03-03,2010,Marzo,Miércoles,alice in wonderland
A Town Called Panic,2.259456,7.4,52.0,2009-06-17,2009,Junio,Miércoles,a town called panic
